,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
0,14-06-2023 0:00:00 - 1:00:00,45091.2083333333,NULL,NULL,NULL,NULL,0 ,0.0
1,14-06-2023 1:00:00 - 2:00:00,45091.25,NULL,NULL,NULL,NULL,0 ,0.0
2,14-06-2023 2:00:00 - 3:00:00,45091.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
3,14-06-2023 3:00:00 - 4:00:00,45091.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
4,14-06-2023 4:00:00 - 5:00:00,45091.375,NULL,NULL,NULL,NULL,0 ,0.0
5,14-06-2023 5:00:00 - 6:00:00,45091.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
6,14-06-2023 6:00:00 - 7:00:00,45091.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
7,14-06-2023 7:00:00 - 8:00:00,45091.5,NULL,NULL,NULL,NULL,0 ,0.0
8,14-06-2023 8:00:00 - 9:00:00,45091.5416666667,NULL,NULL,NULL,NULL,0 ,0.0
9,14-06-2023 9:00:00 - 10:00:00,45091.5833333333,NULL,NULL,NULL,NULL,0 ,0.0
10,14-06-2023 10:00:00 - 11:00:00,45091.625,NULL,NULL,NULL,NULL,0 ,0.0
11,14-06-2023 11:00:00 - 12:00:00,45091.6666666667,NULL,NULL,NULL,NULL,0 ,0.0
12,14-06-2023 12:00:00 - 13:00:00,45091.7083333333,NULL,NULL,NULL,NULL,0 ,0.0
13,14-06-2023 13:00:00 - 14:00:00,45091.75,NULL,NULL,NULL,NULL,0 ,0.0
14,14-06-2023 14:00:00 - 15:00:00,45091.7916666667,NULL,NULL,NULL,NULL,0 ,0.0
15,14-06-2023 15:00:00 - 16:00:00,45091.8333333333,NULL,NULL,NULL,NULL,0 ,0.0
16,14-06-2023 16:00:00 - 17:00:00,45091.875,NULL,NULL,NULL,NULL,0 ,0.0
17,14-06-2023 17:00:00 - 18:00:00,45091.9166666667,NULL,NULL,NULL,NULL,0 ,0.0
18,14-06-2023 18:00:00 - 19:00:00,45091.9583333333,NULL,NULL,NULL,NULL,0 ,0.0
19,14-06-2023 19:00:00 - 20:00:00,45092.0,NULL,NULL,NULL,NULL,0 ,0.0
20,14-06-2023 20:00:00 - 21:00:00,45092.0416666667,NULL,NULL,NULL,NULL,0 ,0.0
21,14-06-2023 21:00:00 - 22:00:00,45092.0833333333,NULL,NULL,NULL,NULL,0 ,0.0
22,14-06-2023 22:00:00 - 23:00:00,45092.125,NULL,NULL,NULL,NULL,0 ,0.0
23,14-06-2023 23:00:00 - 0:00:00,45092.1666666667,NULL,NULL,NULL,NULL,0 ,0.0
24,15-06-2023 0:00:00 - 1:00:00,45092.2083333333,NULL,NULL,NULL,NULL,0 ,0.0
25,15-06-2023 1:00:00 - 2:00:00,45092.25,NULL,NULL,NULL,NULL,0 ,0.0
26,15-06-2023 2:00:00 - 3:00:00,45092.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
27,15-06-2023 3:00:00 - 4:00:00,45092.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
28,15-06-2023 4:00:00 - 5:00:00,45092.375,NULL,NULL,NULL,NULL,0 ,0.0
29,15-06-2023 5:00:00 - 6:00:00,45092.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
30,15-06-2023 6:00:00 - 7:00:00,45092.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
31,15-06-2023 7:00:00 - 8:00:00,45092.5,NULL,NULL,NULL,NULL,0 ,0.0
32,15-06-2023 8:00:00 - 9:00:00,45092.5416666667,NULL,NULL,NULL,NULL,0 ,0.0
33,15-06-2023 9:00:00 - 10:00:00,45092.5833333333,NULL,NULL,NULL,NULL,0 ,0.0
34,15-06-2023 10:00:00 - 11:00:00,45092.625,NULL,NULL,NULL,NULL,0 ,0.0
35,15-06-2023 11:00:00 - 12:00:00,45092.6666666667,NULL,NULL,NULL,NULL,0 ,0.0
36,15-06-2023 12:00:00 - 13:00:00,45092.7083333333,NULL,NULL,NULL,NULL,0 ,0.0
37,15-06-2023 13:00:00 - 14:00:00,45092.75,NULL,NULL,NULL,NULL,0 ,0.0
38,15-06-2023 14:00:00 - 15:00:00,45092.7916666667,NULL,NULL,NULL,NULL,0 ,0.0
39,15-06-2023 15:00:00 - 16:00:00,45092.8333333333,NULL,NULL,NULL,NULL,0 ,0.0
40,15-06-2023 16:00:00 - 17:00:00,45092.875,NULL,NULL,NULL,NULL,0 ,0.0
41,15-06-2023 17:00:00 - 18:00:00,45092.9166666667,NULL,NULL,NULL,NULL,0 ,0.0
42,15-06-2023 18:00:00 - 19:00:00,45092.9583333333,NULL,NULL,NULL,NULL,0 ,0.0
43,15-06-2023 19:00:00 - 20:00:00,45093.0,NULL,NULL,NULL,NULL,0 ,0.0
44,15-06-2023 20:00:00 - 21:00:00,45093.0416666667,NULL,NULL,NULL,NULL,0 ,0.0
45,15-06-2023 21:00:00 - 22:00:00,45093.0833333333,NULL,NULL,NULL,NULL,0 ,0.0
46,15-06-2023 22:00:00 - 23:00:00,45093.125,NULL,NULL,NULL,NULL,0 ,0.0
47,15-06-2023 23:00:00 - 0:00:00,45093.1666666667,NULL,NULL,NULL,NULL,0 ,0.0
48,16-06-2023 0:00:00 - 1:00:00,45093.2083333333,NULL,NULL,NULL,NULL,0 ,0.0
49,16-06-2023 1:00:00 - 2:00:00,45093.25,NULL,NULL,NULL,NULL,0 ,0.0
50,16-06-2023 2:00:00 - 3:00:00,45093.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
51,16-06-2023 3:00:00 - 4:00:00,45093.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
52,16-06-2023 4:00:00 - 5:00:00,45093.375,NULL,NULL,NULL,NULL,0 ,0.0
53,16-06-2023 5:00:00 - 6:00:00,45093.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
54,16-06-2023 6:00:00 - 7:00:00,45093.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
55,16-06-2023 7:00:00 - 8:00:00,45093.5,NULL,NULL,NULL,NULL,0 ,0.0
56,16-06-2023 8:00:00 - 9:00:00,45093.5416666667,NULL,NULL,NULL,NULL,0 ,0.0
57,16-06-2023 9:00:00 - 10:00:00,45093.5833333333,NULL,NULL,NULL,NULL,0 ,0.0
58,16-06-2023 10:00:00 - 11:00:00,45093.625,NULL,NULL,NULL,NULL,0 ,0.0
59,16-06-2023 11:00:00 - 12:00:00,45093.6666666667,NULL,NULL,NULL,NULL,0 ,0.0
60,16-06-2023 12:00:00 - 13:00:00,45093.7083333333,NULL,NULL,NULL,NULL,0 ,0.0
61,16-06-2023 13:00:00 - 14:00:00,45093.75,NULL,NULL,NULL,NULL,0 ,0.0
62,16-06-2023 14:00:00 - 15:00:00,45093.7916666667,NULL,NULL,NULL,NULL,0 ,0.0
63,16-06-2023 15:00:00 - 16:00:00,45093.8333333333,NULL,NULL,NULL,NULL,0 ,0.0
64,16-06-2023 16:00:00 - 17:00:00,45093.875,NULL,NULL,NULL,NULL,0 ,0.0
65,16-06-2023 17:00:00 - 18:00:00,45093.9166666667,NULL,NULL,NULL,NULL,0 ,0.0
66,16-06-2023 18:00:00 - 19:00:00,45093.9583333333,NULL,NULL,NULL,NULL,0 ,0.0
67,16-06-2023 19:00:00 - 20:00:00,45094.0,NULL,NULL,NULL,NULL,0 ,0.0
68,16-06-2023 20:00:00 - 21:00:00,45094.0416666667,NULL,NULL,NULL,NULL,0 ,0.0
69,16-06-2023 21:00:00 - 22:00:00,45094.0833333333,NULL,NULL,NULL,NULL,0 ,0.0
70,16-06-2023 22:00:00 - 23:00:00,45094.125,NULL,NULL,NULL,NULL,0 ,0.0
71,16-06-2023 23:00:00 - 0:00:00,45094.1666666667,NULL,NULL,NULL,NULL,0 ,0.0
72,17-06-2023 0:00:00 - 1:00:00,45094.2083333333,NULL,NULL,NULL,NULL,0 ,0.0
73,17-06-2023 1:00:00 - 2:00:00,45094.25,NULL,NULL,NULL,NULL,0 ,0.0
74,17-06-2023 2:00:00 - 3:00:00,45094.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
75,17-06-2023 3:00:00 - 4:00:00,45094.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
76,17-06-2023 4:00:00 - 5:00:00,45094.375,NULL,NULL,NULL,NULL,0 ,0.0
77,17-06-2023 5:00:00 - 6:00:00,45094.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
78,17-06-2023 6:00:00 - 7:00:00,45094.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
79,17-06-2023 7:00:00 - 8:00:00,45094.5,NULL,NULL,NULL,NULL,0 ,0.0
